org.elasticsearch.action.termvectors.MultiTermVectorsShardResponse.locations;TransportShardMultiTermsVectorAction
org.elasticsearch.action.termvectors.MultiTermVectorsShardResponse.failures;TransportShardMultiTermsVectorAction
org.elasticsearch.common.Numbers.toShortExact(java.lang.Number);XContentMapValues
org.elasticsearch.common.Numbers.toByteExact(java.lang.Number);XContentMapValues
org.elasticsearch.action.admin.indices.segments.IndicesSegmentsRequest.verbose();TransportIndicesSegmentsAction
org.elasticsearch.common.Numbers.toIntExact(java.lang.Number);XContentMapValues
org.elasticsearch.action.admin.indices.segments.IndicesSegmentsRequest.verbose;TransportIndicesSegmentsAction
org.elasticsearch.common.Numbers.toLongExact(java.lang.Number);XContentMapValues
org.elasticsearch.common.collect.CopyOnWriteHashMap.values();FieldTypeLookup
org.elasticsearch.common.collect.CopyOnWriteHashMap.isEmpty();FieldTypeLookup
org.elasticsearch.action.admin.cluster.shards.ClusterSearchShardsRequestBuilder.setIndicesOptions(org.elasticsearch.action.support.IndicesOptions);ClusterSearchShardsRequest
org.elasticsearch.action.admin.cluster.shards.ClusterSearchShardsRequestBuilder.request();ClusterSearchShardsRequest
org.elasticsearch.cluster.routing.allocation.decider.ShardsLimitAllocationDecider.CLUSTER_TOTAL_SHARDS_PER_NODE_SETTING;SameShardAllocationDecider
org.elasticsearch.gateway.ReplicaShardAllocator.canBeAllocatedToAtLeastOneNode(org.elasticsearch.cluster.routing.ShardRouting,
org.elasticsearch.cluster.routing.allocation.RoutingAllocation);MoveDecision
org.elasticsearch.cluster.routing.allocation.decider.ShardsLimitAllocationDecider.doDecide(org.elasticsearch.cluster.routing.ShardRouting, org.elasticsearch.cluster.routing.RoutingNode, org.elasticsearch.cluster.routing.allocation.RoutingAllocation, java.util.function.BiPredicate);SameShardAllocationDecider
org.elasticsearch.gateway.ReplicaShardAllocator.augmentExplanationsWithStoreInfo(java.util.Map, java.util.Map);MoveDecision
org.elasticsearch.gateway.ReplicaShardAllocator.hasInitiatedFetching(org.elasticsearch.cluster.routing.ShardRouting);MoveDecision
org.elasticsearch.gateway.ReplicaShardAllocator.findStore(org.elasticsearch.cluster.routing.ShardRouting, org.elasticsearch.cluster.routing.allocation.RoutingAllocation, org.elasticsearch.gateway.AsyncShardFetch$FetchResult);MoveDecision
org.elasticsearch.cluster.routing.allocation.decider.ShardsLimitAllocationDecider.settings;SameShardAllocationDecider
org.elasticsearch.gateway.ReplicaShardAllocator.fetchData(org.elasticsearch.cluster.routing.ShardRouting, org.elasticsearch.cluster.routing.allocation.RoutingAllocation);MoveDecision
org.elasticsearch.cluster.routing.allocation.decider.ShardsLimitAllocationDecider.INDEX_TOTAL_SHARDS_PER_NODE_SETTING;SameShardAllocationDecider
org.elasticsearch.action.explain.ExplainRequestBuilder.setParent(java.lang.String);ExplainRequest
org.elasticsearch.action.explain.ExplainRequestBuilder.setType(java.lang.String);ExplainRequest
