Refactoring Type	Source Method	Target Class
Move Method	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl::notifyConnectionFailed():void	net.java.sip.communicator.impl.protocol.sip.SipRegistrarConnection
Move Method	net.java.sip.communicator.slick.protocol.icq.TestOperationSetBasicInstantMessaging::testSendFunMessages():void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.dns.ConfigurableDnssecResolver::getExceptionMessage(SecureMessage):String	net.java.sip.communicator.impl.dns.SecureMessage
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.TreeContactList::initContactSources():void	net.java.sip.communicator.impl.gui.main.contactlist.CallHistoryFilter
Move Method	net.java.sip.communicator.service.protocol.media.AbstractOperationSetTelephonyConferencing::getRemoteSourceID(MediaAwareCallPeer<?,?,?>, MediaType):long	net.java.sip.communicator.service.protocol.media.MediaAwareCallPeer
Move Method	net.java.sip.communicator.impl.protocol.jabber.CallPeerJabberImpl::processSessionTerminate(JingleIQ):void	net.java.sip.communicator.impl.protocol.jabber.extensions.jingle.JingleIQ
Move Method	net.java.sip.communicator.impl.gui.main.chat.ChatPanel::isGreyHistoryStyleDisabled(ProtocolProviderService):boolean	net.java.sip.communicator.impl.gui.main.chat.conference.ChatRoomSubjectPanel
Move Method	net.java.sip.communicator.service.protocol.Call::fireCallChangeEvent(String, Object, Object, CallPeerChangeEvent):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.slick.msghistory.TestMsgHistoryServiceMultiChat::writeRecordsToMultiChat():void	net.java.sip.communicator.impl.protocol.mock.MockMultiUserChat
Move Method	net.java.sip.communicator.impl.gui.UIServiceImpl::setDefaultThemePack():void	net.java.sip.communicator.impl.gui.main.chat.conference.ConferenceChatManager
Move Method	net.java.sip.communicator.impl.protocol.irc.IrcStack::disconnect():void	net.java.sip.communicator.impl.protocol.irc.ProtocolProviderServiceIrcImpl
Move Method	net.java.sip.communicator.slick.protocol.jabber.TestOperationSetMultiUserChat2::prepareContactList():void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetPresenceSipImpl::unsubscribeToAllEventSubscribers():void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.gibberish.CallGibberishImpl::removeCallPeer(CallPeerGibberishImpl):void	net.java.sip.communicator.impl.protocol.gibberish.CallPeerGibberishImpl
