com_intellij_FileSetTestCase$ActualTest.java/[CN]/	com_intellij_testFramework_LightPlatformTestCase.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_tokens_EditArrangementAliasRuleAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_EditArrangementRuleAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_tokens_MoveArrangementAliasRuleDownAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_MoveArrangementMatchingRuleDownAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_tokens_MoveArrangementAliasRuleUpAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_MoveArrangementMatchingRuleUpAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_action_tokens_RemoveArrangementAliasRuleAction.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_action_RemoveArrangementRuleAction.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_animation_ArrangementAnimationManager.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_animation_ArrangementAnimationPanel$Listener.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_component_ArrangementAtomMatchConditionComponent$2.java/[CN]/	com_intellij_openapi_actionSystem_impl_ActionButton.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_component_ArrangementAtomMatchConditionComponent$5.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_animation_ArrangementAnimationPanel.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_component_ArrangementAtomMatchConditionComponent$NameBorderStrategy.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_component_ArrangementAtomMatchConditionComponent$BorderStrategy.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_component_ArrangementAtomMatchConditionComponent$PredefinedConditionBorderStrategy.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_component_ArrangementAtomMatchConditionComponent$BorderStrategy.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_component_ArrangementCheckBoxUiComponent.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_component_AbstractArrangementUiComponent.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_component_ArrangementComboBoxUiComponent.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_component_AbstractArrangementUiComponent.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_component_ArrangementLabelUiComponent.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_component_AbstractArrangementUiComponent.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_component_ArrangementTextFieldUiComponent.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_component_AbstractArrangementUiComponent.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_group_ArrangementGroupingComponent.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_ui_ArrangementEditorAware.java/[CN]/
