org_apache_maven_artifact_ant_RemoteRepository.java/[CN]/	org_apache_maven_artifact_ant_Repository.java/[CN]/
org_gradle_api_file_CopyProcessingSpec.java/[CN]/	org_gradle_api_file_ContentFilterable.java/[CN]/
org_gradle_api_file_CopySpec.java/[CN]/	org_gradle_api_file_CopyProcessingSpec.java/[CN]/
org_gradle_api_file_CopySpec.java/[CN]/	org_gradle_api_file_CopySourceSpec.java/[CN]/
org_gradle_api_file_CopySpec.java/[CN]/	org_gradle_api_tasks_util_PatternFilterable.java/[CN]/
org_gradle_api_file_DuplicateFileCopyingException.java/[CN]/	org_gradle_api_GradleException.java/[CN]/
org_gradle_api_file_DuplicateFileCopyingException.java/[CN]/	org_gradle_api_Incubating.java/[CN]/
org_gradle_api_file_DuplicatesStrategy.java/[CN]/	org_gradle_api_Incubating.java/[CN]/
org_gradle_api_file_EmptyFileVisitor.java/[CN]/	org_gradle_api_file_FileVisitor.java/[CN]/
org_gradle_api_file_FileCollection.java/[CN]/	org_gradle_api_Buildable.java/[CN]/
org_gradle_api_file_FileCollection.java/[CN]/	org_gradle_api_tasks_AntBuilderAware.java/[CN]/
org_gradle_api_file_FileCopyDetails.java/[CN]/	org_gradle_api_NonExtensible.java/[CN]/
org_gradle_api_file_FileCopyDetails.java/[CN]/	org_gradle_api_file_ContentFilterable.java/[CN]/
org_gradle_api_file_FileCopyDetails.java/[CN]/	org_gradle_api_file_FileTreeElement.java/[CN]/
org_gradle_api_file_FileTree.java/[CN]/	org_gradle_api_file_FileCollection.java/[CN]/
org_gradle_api_file_FileVisitDetails.java/[CN]/	org_gradle_api_file_FileTreeElement.java/[CN]/
org_gradle_api_file_SourceDirectorySet.java/[CN]/	org_gradle_api_Named.java/[CN]/
org_gradle_api_file_SourceDirectorySet.java/[CN]/	org_gradle_api_file_FileTree.java/[CN]/
org_gradle_api_file_SourceDirectorySet.java/[CN]/	org_gradle_api_tasks_util_PatternFilterable.java/[CN]/
org_gradle_api_file_SourceDirectorySet.java/[CN]/	org_gradle_model_internal_core_UnmanagedStruct.java/[CN]/
org_gradle_api_file_UnableToDeleteFileException.java/[CN]/	org_gradle_api_UncheckedIOException.java/[CN]/
org_gradle_api_initialization_ConfigurableIncludedBuild.java/[CN]/	org_gradle_api_Incubating.java/[CN]/
org_gradle_api_initialization_ConfigurableIncludedBuild.java/[CN]/	org_gradle_api_initialization_IncludedBuild.java/[CN]/
org_gradle_api_initialization_IncludedBuild.java/[CN]/	org_gradle_api_Incubating.java/[CN]/
org_gradle_api_initialization_Settings.java/[CN]/	org_gradle_api_plugins_PluginAware.java/[CN]/
org_gradle_api_internal_AbstractBuildableComponentSpec.java/[CN]/	org_gradle_api_BuildableComponentSpec.java/[CN]/
org_gradle_api_internal_AbstractBuildableComponentSpec.java/[CN]/	org_gradle_api_CheckableComponentSpec.java/[CN]/
org_gradle_api_internal_AbstractBuildableComponentSpec.java/[CN]/	org_gradle_platform_base_component_internal_AbstractComponentSpec.java/[CN]/
org_gradle_api_internal_AbstractBuildableComponentSpec$1.java/[CN]/	org_gradle_api_tasks_TaskDependency.java/[CN]/
org_gradle_api_internal_AbstractClassGenerator.java/[CN]/	org_gradle_api_internal_ClassGenerator.java/[CN]/
org_gradle_api_internal_AbstractNamedDomainObjectContainer.java/[CN]/	org_gradle_api_NamedDomainObjectContainer.java/[CN]/
org_gradle_api_internal_AbstractNamedDomainObjectContainer.java/[CN]/	org_gradle_api_internal_DefaultNamedDomainObjectSet.java/[CN]/
org_gradle_api_internal_AbstractPolymorphicDomainObjectContainer.java/[CN]/	org_gradle_api_internal_AbstractNamedDomainObjectContainer.java/[CN]/
org_gradle_api_internal_AbstractPolymorphicDomainObjectContainer.java/[CN]/	org_gradle_api_internal_PolymorphicDomainObjectContainerInternal.java/[CN]/
org_gradle_api_internal_AbstractPolymorphicDomainObjectContainer$ContainerDynamicObject.java/[CN]/	org_gradle_internal_metaobject_MixInClosurePropertiesAsMethodsDynamicObject.java/[CN]/
org_gradle_api_internal_AbstractPolymorphicDomainObjectContainer$ContainerElementsDynamicObject.java/[CN]/	org_gradle_internal_metaobject_AbstractDynamicObject.java/[CN]/
org_gradle_api_internal_AbstractTask.java/[CN]/	org_gradle_api_internal_DynamicObjectAware.java/[CN]/
org_gradle_api_internal_AbstractTask.java/[CN]/	org_gradle_api_internal_TaskInternal.java/[CN]/
org_gradle_api_internal_AbstractTask$17.java/[CN]/	org_gradle_internal_Factory.java/[CN]/
