Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.cassandra.config.CFMetaData.Serializer::serialize(org.apache.cassandra.config.CFMetaData, org.apache.cassandra.io.util.DataOutputPlus, int):void	org.apache.cassandra.config.CFMetaData	0/1	
Move Method	org.apache.cassandra.config.CFMetaData.Serializer::serializedSize(org.apache.cassandra.config.CFMetaData, int):long	org.apache.cassandra.config.CFMetaData	0/1	
Move Method	org.apache.cassandra.cql3.statements.AlterTypeStatement::updateDefinition(org.apache.cassandra.config.CFMetaData, org.apache.cassandra.config.ColumnDefinition, java.lang.String, java.nio.ByteBuffer, org.apache.cassandra.db.marshal.UserType):boolean	org.apache.cassandra.config.CFMetaData	0/1	
Move Method	org.apache.cassandra.cql3.statements.AuthenticationStatement::checkPermission(org.apache.cassandra.service.ClientState, org.apache.cassandra.auth.Permission, org.apache.cassandra.auth.RoleResource):void	org.apache.cassandra.service.ClientState	0/1	
Move Method	org.apache.cassandra.db.Columns.Serializer::serialize(org.apache.cassandra.db.Columns, org.apache.cassandra.io.util.DataOutputPlus):void	org.apache.cassandra.db.Columns	0/1	
Move Method	org.apache.cassandra.db.Columns.Serializer::serializedSize(org.apache.cassandra.db.Columns):long	org.apache.cassandra.db.Columns	0/1	
Move Method	org.apache.cassandra.db.Columns.Serializer::serializeLargeSubset(java.util.Collection<org.apache.cassandra.config.ColumnDefinition>, int, org.apache.cassandra.db.Columns, int, org.apache.cassandra.io.util.DataOutputPlus):void	org.apache.cassandra.db.Columns	0/1	
Move Method	org.apache.cassandra.db.Columns.Serializer::serializeLargeSubsetSize(java.util.Collection<org.apache.cassandra.config.ColumnDefinition>, int, org.apache.cassandra.db.Columns, int):int	org.apache.cassandra.db.Columns	0/1	
Move Method	org.apache.cassandra.db.CounterMutation::compare(org.apache.cassandra.db.Clustering, org.apache.cassandra.db.Clustering, org.apache.cassandra.db.ColumnFamilyStore):int	org.apache.cassandra.db.ColumnFamilyStore	0/1	
Move Method	org.apache.cassandra.db.Slices.Serializer::serializedSize(org.apache.cassandra.db.Slices, int):long	org.apache.cassandra.db.Slices	0/1	
Move Method	org.apache.cassandra.db.compaction.CompactionManager::lookupSSTable(org.apache.cassandra.db.ColumnFamilyStore, org.apache.cassandra.io.sstable.Descriptor):org.apache.cassandra.io.sstable.format.SSTableReader	org.apache.cassandra.db.ColumnFamilyStore	0/1	
Move Method	org.apache.cassandra.db.context.CounterContext.ContextState::writeElementAtOffset(java.nio.ByteBuffer, int, org.apache.cassandra.utils.CounterId, long, long):void	org.apache.cassandra.utils.CounterId	0/1	
Move Method	org.apache.cassandra.db.lifecycle.LogAwareFileLister::setTemporary(org.apache.cassandra.db.lifecycle.LogFile, java.util.Collection<java.util.Set<java.io.File>>, java.util.Collection<java.util.Set<java.io.File>>):void	org.apache.cassandra.db.lifecycle.LogFile	0/1	
Move Method	org.apache.cassandra.db.monitoring.MonitoringTask::getLogMessages(org.apache.cassandra.db.monitoring.MonitoringTask.AggregatedOperations):java.util.List<java.lang.String>	org.apache.cassandra.db.monitoring.MonitoringTask.AggregatedOperations	0/1	
Move Method	org.apache.cassandra.db.partitions.PartitionUpdate.PartitionUpdateSerializer::deserialize(org.apache.cassandra.io.util.DataInputPlus, int, org.apache.cassandra.db.rows.SerializationHelper.Flag, org.apache.cassandra.db.DecoratedKey):org.apache.cassandra.db.partitions.PartitionUpdate	org.apache.cassandra.db.DecoratedKey	0/1	
Move Method	org.apache.cassandra.db.rows.UnfilteredSerializer::writeComplexColumn(org.apache.cassandra.db.rows.ComplexColumnData, org.apache.cassandra.config.ColumnDefinition, boolean, org.apache.cassandra.db.LivenessInfo, org.apache.cassandra.db.SerializationHeader, org.apache.cassandra.io.util.DataOutputPlus):void	org.apache.cassandra.db.SerializationHeader	0/1	
Move Method	org.apache.cassandra.db.rows.UnfilteredSerializer::sizeOfComplexColumn(org.apache.cassandra.db.rows.ComplexColumnData, org.apache.cassandra.config.ColumnDefinition, boolean, org.apache.cassandra.db.LivenessInfo, org.apache.cassandra.db.SerializationHeader):long	org.apache.cassandra.db.SerializationHeader	0/1	
Move Method	org.apache.cassandra.db.rows.UnfilteredSerializer::skipComplexColumn(org.apache.cassandra.io.util.DataInputPlus, org.apache.cassandra.config.ColumnDefinition, org.apache.cassandra.db.SerializationHeader, boolean):void	org.apache.cassandra.db.SerializationHeader	0/1	
Move Method	org.apache.cassandra.db.view.TableViews::buildMutations(org.apache.cassandra.config.CFMetaData, java.util.List<org.apache.cassandra.db.view.ViewUpdateGenerator>):java.util.Collection<org.apache.cassandra.db.Mutation>	org.apache.cassandra.config.CFMetaData	0/1	
Move Method	org.apache.cassandra.dht.tokenallocator.ReplicationAwareTokenAllocator::applyOwnershipAdjustment(org.apache.cassandra.dht.tokenallocator.ReplicationAwareTokenAllocator.BaseTokenInfo<Unit,?>, org.apache.cassandra.dht.tokenallocator.ReplicationAwareTokenAllocator.UnitInfo<Unit>, org.apache.cassandra.dht.Token, org.apache.cassandra.dht.Token, double, org.apache.cassandra.dht.tokenallocator.ReplicationAwareTokenAllocator.UnitAdjustmentTracker<Unit>):double	org.apache.cassandra.dht.Token	0/1	
Move Method	org.apache.cassandra.gms.VersionedValue.VersionedValueFactory::cloneWithHigherVersion(org.apache.cassandra.gms.VersionedValue):org.apache.cassandra.gms.VersionedValue	org.apache.cassandra.gms.VersionedValue	0/1	
Move Method	org.apache.cassandra.gms.VersionedValue.VersionedValueSerializer::outValue(org.apache.cassandra.gms.VersionedValue, int):java.lang.String	org.apache.cassandra.gms.VersionedValue	0/1	
Move Method	org.apache.cassandra.hints.HintsWriteExecutor::flush(org.apache.cassandra.hints.HintsBuffer):void	org.apache.cassandra.hints.HintsBuffer	0/1	
Move Method	org.apache.cassandra.index.sasi.SASIIndexBuilder::completeSSTable(org.apache.cassandra.index.sasi.disk.PerSSTableIndexWriter, org.apache.cassandra.io.sstable.format.SSTableReader, java.util.Collection<org.apache.cassandra.index.sasi.conf.ColumnIndex>):void	org.apache.cassandra.index.sasi.disk.PerSSTableIndexWriter	0/1	
Move Method	org.apache.cassandra.index.sasi.disk.TokenTree::searchBlock(long, short, org.apache.cassandra.index.sasi.utils.MappedBuffer):short	org.apache.cassandra.index.sasi.utils.MappedBuffer	0/1	
Move Method	org.apache.cassandra.schema.IndexMetadata.Serializer::serialize(org.apache.cassandra.schema.IndexMetadata, org.apache.cassandra.io.util.DataOutputPlus, int):void	org.apache.cassandra.schema.IndexMetadata	0/1	
Move Method	org.apache.cassandra.schema.IndexMetadata.Serializer::serializedSize(org.apache.cassandra.schema.IndexMetadata, int):long	org.apache.cassandra.schema.IndexMetadata	0/1	
Move Method	org.apache.cassandra.serializers.MapSerializer::getSerializedValue(java.nio.ByteBuffer, java.nio.ByteBuffer, org.apache.cassandra.db.marshal.AbstractType):java.nio.ByteBuffer	org.apache.cassandra.db.marshal.AbstractType	0/1	
Move Method	org.apache.cassandra.service.StorageService::updateNetVersion(java.net.InetAddress, org.apache.cassandra.gms.VersionedValue):void	org.apache.cassandra.gms.VersionedValue	0/1	
Move Method	org.apache.cassandra.thrift.CassandraServer::makeColumnFilter(org.apache.cassandra.config.CFMetaData, org.apache.cassandra.db.Slices):org.apache.cassandra.db.filter.ColumnFilter	org.apache.cassandra.db.Slices	0/1	
Move Method	org.apache.cassandra.tools.nodetool.Ring::printDc(org.apache.cassandra.tools.NodeProbe, java.lang.String, java.lang.String, com.google.common.collect.LinkedHashMultimap<java.lang.String,java.lang.String>, org.apache.cassandra.tools.nodetool.SetHostStat, boolean):void	org.apache.cassandra.tools.nodetool.SetHostStat	0/1	
Move Method	org.apache.cassandra.triggers.TriggerExecutor::validateSamePartition(java.util.UUID, org.apache.cassandra.db.DecoratedKey, org.apache.cassandra.db.partitions.PartitionUpdate):void	org.apache.cassandra.db.DecoratedKey	0/1	
Move Method	org.apache.cassandra.db.context.CounterContext::merge(org.apache.cassandra.db.context.CounterContext.ContextState, org.apache.cassandra.db.context.CounterContext.ContextState, org.apache.cassandra.db.context.CounterContext.ContextState):java.nio.ByteBuffer	org.apache.cassandra.db.context.CounterContext.ContextState	1/9	
Move Method	org.apache.cassandra.db.rows.UnfilteredRowIteratorSerializer::deserialize(org.apache.cassandra.io.util.DataInputPlus, int, org.apache.cassandra.config.CFMetaData, org.apache.cassandra.db.rows.SerializationHelper.Flag, org.apache.cassandra.db.rows.UnfilteredRowIteratorSerializer.Header):org.apache.cassandra.db.rows.UnfilteredRowIterator	org.apache.cassandra.db.rows.UnfilteredRowIteratorSerializer.Header	1/6	
Move Method	org.apache.cassandra.db.rows.UnfilteredSerializer::serializedRowBodySize(org.apache.cassandra.db.rows.Row, org.apache.cassandra.db.SerializationHeader, long, int):long	org.apache.cassandra.db.SerializationHeader	1/6	
Move Method	org.apache.cassandra.db.rows.UnfilteredSerializer::readComplexColumn(org.apache.cassandra.config.ColumnDefinition, org.apache.cassandra.io.util.DataInputPlus, org.apache.cassandra.db.SerializationHeader, org.apache.cassandra.db.rows.SerializationHelper, boolean, org.apache.cassandra.db.rows.Row.Builder, org.apache.cassandra.db.LivenessInfo):void	org.apache.cassandra.db.rows.SerializationHelper	1/6	
Move Method	org.apache.cassandra.index.sasi.analyzer.StandardAnalyzer::getFilterPipeline():org.apache.cassandra.index.sasi.analyzer.filter.FilterPipelineTask	org.apache.cassandra.index.sasi.analyzer.StandardTokenizerOptions	1/6	
Move Method	org.apache.cassandra.db.CounterMutation::updateWithCurrentValue(org.apache.cassandra.db.partitions.PartitionUpdate.CounterMark, org.apache.cassandra.db.ClockAndCount, org.apache.cassandra.db.ColumnFamilyStore):void	org.apache.cassandra.db.partitions.PartitionUpdate.CounterMark	1/5	
Move Method	org.apache.cassandra.db.commitlog.CommitLogSegmentReader::readSyncMarker(org.apache.cassandra.db.commitlog.CommitLogDescriptor, int, org.apache.cassandra.io.util.RandomAccessReader):int	org.apache.cassandra.io.util.RandomAccessReader	1/5	
Move Method	org.apache.cassandra.db.context.CounterContext::compare(org.apache.cassandra.db.context.CounterContext.ContextState, org.apache.cassandra.db.context.CounterContext.ContextState):org.apache.cassandra.db.context.CounterContext.Relationship	org.apache.cassandra.db.context.CounterContext.ContextState	1/5	
Move Method	org.apache.cassandra.thrift.ThriftResultsMerger.SuperColumnsPartitionMerger::makeDynamicCell(org.apache.cassandra.db.rows.Cell):org.apache.cassandra.db.rows.Cell	org.apache.cassandra.db.rows.Cell	1/5	
Move Method	org.apache.cassandra.cql3.statements.CreateAggregateStatement::prepareType(java.lang.String, org.apache.cassandra.cql3.CQL3Type.Raw):org.apache.cassandra.db.marshal.AbstractType<?>	org.apache.cassandra.cql3.CQL3Type.Raw	1/4	
Move Method	org.apache.cassandra.cql3.statements.CreateFunctionStatement::prepareType(java.lang.String, org.apache.cassandra.cql3.CQL3Type.Raw):org.apache.cassandra.db.marshal.AbstractType<?>	org.apache.cassandra.cql3.CQL3Type.Raw	1/4	
Move Method	org.apache.cassandra.cql3.statements.DropAggregateStatement::prepareType(java.lang.String, org.apache.cassandra.cql3.CQL3Type.Raw):org.apache.cassandra.db.marshal.AbstractType<?>	org.apache.cassandra.cql3.CQL3Type.Raw	1/4	
Move Method	org.apache.cassandra.db.commitlog.CommitLogReader::shouldSkipSegmentId(java.io.File, org.apache.cassandra.db.commitlog.CommitLogDescriptor, org.apache.cassandra.db.commitlog.CommitLogPosition):boolean	org.apache.cassandra.db.commitlog.CommitLogDescriptor	1/4	
Move Method	org.apache.cassandra.stress.operations.predefined.PredefinedOperation::getColumnValues(org.apache.cassandra.stress.operations.predefined.PredefinedOperation.ColumnSelection):java.util.List<java.nio.ByteBuffer>	org.apache.cassandra.stress.operations.predefined.PredefinedOperation.ColumnSelection	1/4	
Move Method	org.apache.cassandra.thrift.CassandraServer::makeColumnFilter(org.apache.cassandra.config.CFMetaData, org.apache.cassandra.thrift.ColumnParent, org.apache.cassandra.thrift.SlicePredicate):org.apache.cassandra.db.filter.ColumnFilter	org.apache.cassandra.config.CFMetaData	1/4	
Move Method	org.apache.cassandra.cql3.VariableSpecifications::getPartitionKeyBindIndexes(org.apache.cassandra.config.CFMetaData):short[]	org.apache.cassandra.config.CFMetaData	1/3	
Move Method	org.apache.cassandra.cql3.statements.BatchStatement::executeWithConditions(org.apache.cassandra.cql3.BatchQueryOptions, org.apache.cassandra.service.QueryState, long):org.apache.cassandra.transport.messages.ResultMessage	org.apache.cassandra.cql3.BatchQueryOptions	1/3	
Move Method	org.apache.cassandra.cql3.statements.SelectStatement.RawStatement::checkNeedsFiltering(org.apache.cassandra.cql3.restrictions.StatementRestrictions):void	org.apache.cassandra.cql3.restrictions.StatementRestrictions	1/3	
Move Method	org.apache.cassandra.index.sasi.analyzer.NonTokenizingAnalyzer::getFilterPipeline():org.apache.cassandra.index.sasi.analyzer.filter.FilterPipelineTask	org.apache.cassandra.index.sasi.analyzer.NonTokenizingOptions	1/3	
Move Method	org.apache.cassandra.io.compress.CompressionMetadata.Writer::writeHeader(java.io.DataOutput, long, int):void	org.apache.cassandra.schema.CompressionParams	1/3	
Move Method	org.apache.cassandra.io.sstable.SSTable::estimateRowsFromIndex(org.apache.cassandra.io.util.RandomAccessReader):long	org.apache.cassandra.io.util.RandomAccessReader	1/3	
Move Method	org.apache.cassandra.io.sstable.format.big.BigTableWriter::writeMetadata(org.apache.cassandra.io.sstable.Descriptor, java.util.Map<org.apache.cassandra.io.sstable.metadata.MetadataType,org.apache.cassandra.io.sstable.metadata.MetadataComponent>):void	org.apache.cassandra.io.sstable.Descriptor	1/3	
Move Method	org.apache.cassandra.io.sstable.metadata.MetadataSerializer::rewriteSSTableMetadata(org.apache.cassandra.io.sstable.Descriptor, java.util.Map<org.apache.cassandra.io.sstable.metadata.MetadataType,org.apache.cassandra.io.sstable.metadata.MetadataComponent>):void	org.apache.cassandra.io.sstable.Descriptor	1/3	
Move Method	org.apache.cassandra.net.MessagingService::receive(org.apache.cassandra.net.MessageIn, int):void	org.apache.cassandra.net.MessageIn	1/3	
Move Method	org.apache.cassandra.config.CFMetaData::newReadRepairDecision():org.apache.cassandra.config.ReadRepairDecision	org.apache.cassandra.schema.TableParams	1/2	
Move Method	org.apache.cassandra.config.Schema::getFunctions(org.apache.cassandra.cql3.functions.FunctionName):java.util.Collection<org.apache.cassandra.cql3.functions.Function>	org.apache.cassandra.cql3.functions.FunctionName	1/2	
Move Method	org.apache.cassandra.config.Schema::findFunction(org.apache.cassandra.cql3.functions.FunctionName, java.util.List<org.apache.cassandra.db.marshal.AbstractType<?>>):java.util.Optional<org.apache.cassandra.cql3.functions.Function>	org.apache.cassandra.cql3.functions.FunctionName	1/2	
Move Method	org.apache.cassandra.cql3.Json.Marker::makeReceiver(org.apache.cassandra.config.CFMetaData):org.apache.cassandra.cql3.ColumnSpecification	org.apache.cassandra.config.CFMetaData	1/2	
Move Method	org.apache.cassandra.cql3.restrictions.MultiColumnRestriction.SliceRestriction::componentBounds(org.apache.cassandra.cql3.statements.Bound, org.apache.cassandra.cql3.QueryOptions):java.util.List<java.nio.ByteBuffer>	org.apache.cassandra.cql3.restrictions.TermSlice	1/2	
Move Method	org.apache.cassandra.cql3.statements.CFStatement::prepareKeyspace(org.apache.cassandra.service.ClientState):void	org.apache.cassandra.cql3.KeyspaceElementName	1/2	
Move Method	org.apache.cassandra.cql3.statements.CFStatement::prepareKeyspace(java.lang.String):void	org.apache.cassandra.cql3.KeyspaceElementName	1/2	
