Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	water.bindings.H2oApi::modelPreview(water.bindings.pojos.ModelsV3):water.bindings.pojos.StreamingSchema	water.bindings.pojos.ModelsV3	1/4	
Move Method	water.bindings.H2oApi::modelJavaCode(water.bindings.pojos.ModelsV3):water.bindings.pojos.StreamingSchema	water.bindings.pojos.ModelsV3	1/4	
Move Method	water.bindings.H2oApi::modelMojo(water.bindings.pojos.ModelsV3):water.bindings.pojos.StreamingSchema	water.bindings.pojos.ModelsV3	1/4	
Move Method	water.bindings.H2oApi::importModel(water.bindings.pojos.ModelImportV3):water.bindings.pojos.ModelsV3	water.bindings.pojos.ModelImportV3	1/4	
Move Method	water.bindings.H2oApi::exportModel(water.bindings.pojos.ModelExportV3):water.bindings.pojos.ModelExportV3	water.bindings.pojos.ModelExportV3	1/4	
Move Method	water.bindings.H2oApi::grid(water.bindings.pojos.GridSchemaV99):water.bindings.pojos.GridSchemaV99	water.bindings.pojos.GridSchemaV99	1/4	
Move Method	water.bindings.H2oApi::makeMetrics(water.bindings.pojos.ModelMetricsMakerSchemaV3):water.bindings.pojos.ModelMetricsMakerSchemaV3	water.bindings.pojos.ModelMetricsMakerSchemaV3	1/4	
Move Method	water.bindings.H2oApi::npsContains(water.bindings.pojos.NodePersistentStorageV3):water.bindings.pojos.NodePersistentStorageV3	water.bindings.pojos.NodePersistentStorageV3	1/4	
Move Method	water.bindings.H2oApi::npsEnabled(water.bindings.pojos.NodePersistentStorageV3):water.bindings.pojos.NodePersistentStorageV3	water.bindings.pojos.NodePersistentStorageV3	1/4	
Move Method	water.bindings.H2oApi::npsPut(water.bindings.pojos.NodePersistentStorageV3):water.bindings.pojos.NodePersistentStorageV3	water.bindings.pojos.NodePersistentStorageV3	1/4	
Move Method	water.bindings.H2oApi::npsGet(water.bindings.pojos.NodePersistentStorageV3):water.bindings.pojos.NodePersistentStorageV3	water.bindings.pojos.NodePersistentStorageV3	1/4	
Move Method	water.bindings.H2oApi::npsRemove(water.bindings.pojos.NodePersistentStorageV3):water.bindings.pojos.NodePersistentStorageV3	water.bindings.pojos.NodePersistentStorageV3	1/4	
Move Method	water.bindings.H2oApi::npsCreateCategory(water.bindings.pojos.NodePersistentStorageV3):water.bindings.pojos.NodePersistentStorageV3	water.bindings.pojos.NodePersistentStorageV3	1/4	
Move Method	water.bindings.H2oApi::npsKeys(water.bindings.pojos.NodePersistentStorageV3):water.bindings.pojos.NodePersistentStorageV3	water.bindings.pojos.NodePersistentStorageV3	1/4	
Move Method	water.bindings.H2oApi::rapidsExec(water.bindings.pojos.RapidsSchemaV3):water.bindings.pojos.RapidsSchemaV3	water.bindings.pojos.RapidsSchemaV3	1/4	
