com.google.javascript.rhino.jstype.FunctionType.getDebugHashCodeStringOf(com.google.javascript.rhino.jstype.JSType);JSType
com.google.javascript.jscomp.transpile.BaseTranspiler.CompilerSupplier.setOptions(com.google.javascript.jscomp.CompilerOptions);CompilerOptions
com.google.javascript.jscomp.TypedScopeCreator.AbstractScopeBuilder.defineSlot(com.google.javascript.rhino.Node, com.google.javascript.rhino.Node, com.google.javascript.rhino.jstype.JSType, boolean);Node
com.google.javascript.jscomp.PureFunctionIdentifierTest.NoSideEffectCallEnumerator.generateNameString(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.lint.CheckMissingSemicolon.shouldHaveSemicolon(com.google.javascript.rhino.Node);Node
com.google.debugging.sourcemap.SourceMapConsumerV3.parseMetaMap(com.google.debugging.sourcemap.SourceMapObject, com.google.debugging.sourcemap.SourceMapSupplier);SourceMapObject
com.google.javascript.jscomp.CheckAccessControls.shouldEmitDeprecationWarning(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node, com.google.javascript.rhino.Node);Node
com.google.javascript.refactoring.SuggestedFix.Builder.removeCast(com.google.javascript.rhino.Node, com.google.javascript.jscomp.AbstractCompiler);Node
com.google.javascript.jscomp.CompilerOptions.setManageClosureDependencies(boolean);DependencyOptions
com.google.javascript.jscomp.Es6ToEs3Converter.addTypeDeclarations(com.google.javascript.jscomp.Es6ToEs3Converter.ClassDeclarationMetadata, com.google.javascript.rhino.Node);ClassDeclarationMetadata
com.google.javascript.jscomp.TypeTransformation.evalBooleanOperation(com.google.javascript.rhino.Node, com.google.javascript.jscomp.TypeTransformation.NameResolver);Node
com.google.javascript.jscomp.parsing.parser.util.format.SimpleFormat.padding(java.lang.CharSequence, int);FormatToken
com.google.javascript.jscomp.ClosureCodingConvention.matchesCacheMethodName(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.ClosureRewriteModule.safeSetString(com.google.javascript.rhino.Node, java.lang.String);Node
com.google.javascript.jscomp.CodeGenerator.opRequiresParentheses(com.google.javascript.rhino.Node, int, com.google.javascript.jscomp.CodeGenerator.Context);Node
com.google.javascript.jscomp.Compiler.createConfig(com.google.javascript.jscomp.parsing.Config.LanguageMode, com.google.javascript.jscomp.parsing.Config.StrictMode);CompilerOptions
com.google.javascript.jscomp.DevirtualizePrototypeMethodsTest.TypeInformationGatherer.getNameString(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.GlobalTypeInfo.getDeclaredFunctionTypeOfCalleeIfAny(com.google.javascript.rhino.Node, com.google.javascript.jscomp.NTIScope);Node
com.google.javascript.jscomp.InlineFunctions.minimizeCost(com.google.javascript.jscomp.InlineFunctions.FunctionState);FunctionState
com.google.javascript.jscomp.OptimizeParameters.setParameterSideEffectInfo(com.google.javascript.jscomp.OptimizeParameters.Parameter, com.google.javascript.rhino.Node);Parameter
