Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.drools.compiler.builder.impl.TypeDeclarationNameResolver::fillStaticInterfaces(org.drools.compiler.lang.descr.TypeDeclarationDescr, java.lang.Class<?>):void	org.drools.compiler.lang.descr.TypeDeclarationDescr	0/1	
Move Method	org.drools.compiler.compiler.DrlParser::getExpandedDRL(java.lang.String, org.drools.compiler.lang.dsl.DefaultExpanderResolver):java.lang.String	org.drools.compiler.lang.dsl.DefaultExpanderResolver	0/1	
Move Method	org.drools.compiler.kie.builder.impl.KieContainerImpl::getModifiedClasses(org.drools.compiler.kie.util.KieJarChangeSet):java.util.List<java.lang.String>	org.drools.compiler.kie.util.KieJarChangeSet	0/1	
Move Method	org.drools.compiler.kie.builder.impl.KieMetaInfoBuilder::addToCompilationData(org.drools.compiler.kie.builder.impl.KieModuleCache.CompilationData.Builder, org.drools.core.rule.JavaDialectRuntimeData, java.util.List<java.lang.String>):void	org.drools.compiler.kie.builder.impl.KieModuleCache.CompilationData.Builder	0/1	
Move Method	org.drools.compiler.kie.util.ChangeSetBuilder::toProperties(org.drools.compiler.kie.util.KieJarChangeSet):java.lang.String	org.drools.compiler.kie.util.KieJarChangeSet	0/1	
Move Method	org.drools.compiler.lang.MVELDumper::processBackReference(org.drools.compiler.lang.MVELDumper.MVELDumperContext, org.drools.compiler.lang.descr.AtomicExprDescr, java.lang.String):java.lang.String	org.drools.compiler.lang.descr.AtomicExprDescr	0/1	
Move Method	org.drools.compiler.lang.MVELDumper::processBackReference(org.drools.compiler.lang.MVELDumper.MVELDumperContext, org.drools.compiler.lang.descr.AtomicExprDescr, java.lang.String):java.lang.String	org.drools.compiler.lang.MVELDumper.MVELDumperContext	0/1	
Move Method	org.drools.compiler.lang.MVELDumper::processInferredCast(java.lang.String, org.drools.compiler.lang.descr.AtomicExprDescr, org.drools.compiler.lang.MVELDumper.MVELDumperContext):java.lang.String	org.drools.compiler.lang.descr.AtomicExprDescr	0/1	
Move Method	org.drools.compiler.rule.builder.PatternBuilder::buildQueryElement(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.BaseDescr, org.drools.core.rule.QueryImpl):org.drools.core.rule.RuleConditionElement	org.drools.compiler.rule.builder.RuleBuildContext	0/1	
Move Method	org.drools.compiler.rule.builder.PatternBuilder::combineConstraints(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.core.rule.Pattern, org.drools.compiler.lang.MVELDumper.MVELDumperContext):void	org.drools.compiler.lang.MVELDumper.MVELDumperContext	0/1	
Move Method	org.drools.compiler.rule.builder.dialect.asm.AbstractASMEvalBuilder::getUsedDeclarations(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.core.rule.Pattern, org.drools.compiler.compiler.AnalysisResult):org.drools.core.rule.Declaration[]	org.drools.compiler.rule.builder.RuleBuildContext	0/1	
Move Method	org.drools.compiler.rule.builder.dialect.java.JavaAccumulateBuilder::collectRequiredDeclarations(java.util.Map<java.lang.String,org.drools.core.rule.Declaration>, java.util.Set<org.drools.core.rule.Declaration>, org.drools.compiler.compiler.BoundIdentifiers):org.drools.core.rule.Declaration[]	org.drools.compiler.compiler.BoundIdentifiers	0/1	
Move Method	org.drools.compiler.rule.builder.dialect.java.JavaAccumulateBuilder::generateFunctionCallCodeTemplate(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.AccumulateDescr, org.drools.core.rule.Declaration[], org.drools.compiler.lang.descr.AccumulateDescr.AccumulateFunctionCallDescr, org.kie.api.runtime.rule.AccumulateFunction, org.drools.compiler.compiler.BoundIdentifiers, org.drools.core.rule.Declaration[], boolean):org.drools.core.base.accumulators.JavaAccumulatorFunctionExecutor	org.drools.compiler.lang.descr.AccumulateDescr.AccumulateFunctionCallDescr	0/1	
Move Method	org.drools.compiler.rule.builder.dialect.java.JavaAccumulateBuilder::generateFunctionCallCodeTemplate(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.AccumulateDescr, org.drools.core.rule.Declaration[], org.drools.compiler.lang.descr.AccumulateDescr.AccumulateFunctionCallDescr, org.kie.api.runtime.rule.AccumulateFunction, org.drools.compiler.compiler.BoundIdentifiers, org.drools.core.rule.Declaration[], boolean):org.drools.core.base.accumulators.JavaAccumulatorFunctionExecutor	org.drools.compiler.compiler.BoundIdentifiers	0/1	
Move Method	org.drools.compiler.rule.builder.dialect.java.JavaAccumulateBuilder::fixInitCode(org.drools.compiler.rule.builder.dialect.java.JavaAnalysisResult, java.lang.String):java.lang.String	org.drools.compiler.rule.builder.dialect.java.JavaAnalysisResult	0/1	
Move Method	org.drools.compiler.rule.builder.PatternBuilder::lookupObjectType(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.PatternDescr):void	org.drools.compiler.lang.descr.PatternDescr	1/9	
Move Method	org.drools.compiler.rule.builder.dialect.mvel.MVELAccumulateBuilder::buildExternalFunctions(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.AccumulateDescr, org.drools.compiler.rule.builder.dialect.mvel.MVELDialect, java.util.Map<java.lang.String,org.drools.core.rule.Declaration>, java.util.Map<java.lang.String,org.drools.core.rule.Declaration>, org.drools.compiler.compiler.BoundIdentifiers, boolean):org.drools.core.spi.Accumulator[]	org.drools.compiler.rule.builder.RuleBuildContext	1/7	
