Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.broadleafcommerce.openadmin.server.service.handler.SystemPropertyCustomPersistenceHandler::classMatches(org.broadleafcommerce.openadmin.dto.PersistencePackage):java.lang.Boolean	org.broadleafcommerce.openadmin.dto.PersistencePackage	0/1	
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.PersistenceManagerImpl::setMainEntityName(org.broadleafcommerce.openadmin.dto.PersistencePackage, org.broadleafcommerce.openadmin.dto.Entity):void	org.broadleafcommerce.openadmin.dto.Entity	0/1	
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.AbstractFieldPersistenceProvider::getListFieldType(java.io.Serializable, org.broadleafcommerce.openadmin.server.service.persistence.module.FieldManager, org.broadleafcommerce.openadmin.dto.Property, org.broadleafcommerce.openadmin.server.service.persistence.PersistenceManager):java.lang.Class<?>	org.broadleafcommerce.openadmin.server.service.persistence.module.FieldManager	0/1	
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.AbstractFieldPersistenceProvider::getListFieldType(java.io.Serializable, org.broadleafcommerce.openadmin.server.service.persistence.module.FieldManager, org.broadleafcommerce.openadmin.dto.Property, org.broadleafcommerce.openadmin.server.service.persistence.PersistenceManager):java.lang.Class<?>	org.broadleafcommerce.openadmin.dto.Property	0/1	
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.AbstractFieldPersistenceProvider::getMapFieldType(java.io.Serializable, org.broadleafcommerce.openadmin.server.service.persistence.module.FieldManager, org.broadleafcommerce.openadmin.dto.Property, org.broadleafcommerce.openadmin.server.service.persistence.PersistenceManager):java.lang.Class<?>	org.broadleafcommerce.openadmin.server.service.persistence.module.FieldManager	0/1	
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.module.provider.AbstractFieldPersistenceProvider::getMapFieldType(java.io.Serializable, org.broadleafcommerce.openadmin.server.service.persistence.module.FieldManager, org.broadleafcommerce.openadmin.dto.Property, org.broadleafcommerce.openadmin.server.service.persistence.PersistenceManager):java.lang.Class<?>	org.broadleafcommerce.openadmin.dto.Property	0/1	
Move Method	org.broadleafcommerce.openadmin.server.service.persistence.validation.EntityValidatorServiceImpl::getTypeHierarchy(org.broadleafcommerce.openadmin.dto.Entity):java.util.List<java.lang.String>	org.broadleafcommerce.openadmin.dto.Entity	0/1	
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.MapFieldMetadataProvider::buildMapMetadata(java.lang.Class<?>, java.lang.Class<?>, java.util.Map<java.lang.String,org.broadleafcommerce.openadmin.dto.FieldMetadata>, org.broadleafcommerce.openadmin.server.dao.FieldInfo, org.broadleafcommerce.openadmin.dto.override.FieldMetadataOverride, org.broadleafcommerce.openadmin.server.dao.DynamicEntityDao, java.lang.String):void	org.broadleafcommerce.openadmin.dto.override.FieldMetadataOverride	1/32	
Move Method	org.broadleafcommerce.openadmin.server.dao.provider.metadata.BasicFieldMetadataProvider::buildDataDrivenList(org.broadleafcommerce.openadmin.dto.BasicFieldMetadata, org.broadleafcommerce.openadmin.server.dao.DynamicEntityDao):void	org.broadleafcommerce.openadmin.dto.BasicFieldMetadata	1/6	
Move Method	org.broadleafcommerce.openadmin.server.service.AdminEntityServiceImpl::getRequestForEntityForm(org.broadleafcommerce.openadmin.web.form.entity.EntityForm, java.lang.String[], java.util.List<org.broadleafcommerce.openadmin.dto.SectionCrumb>):org.broadleafcommerce.openadmin.server.domain.PersistencePackageRequest	org.broadleafcommerce.openadmin.web.form.entity.EntityForm	1/6	
