com_jwetherell_openmap_common_MGRSPoint.java/[CN]/	com_jwetherell_openmap_common_ZonedUTMPoint.java/[CN]/
net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_BaseMenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_editors_FavoritePointEditor.java/[CN]/	net_osmand_plus_mapcontextmenu_editors_PointEditor.java/[CN]/
net_osmand_plus_mapcontextmenu_editors_WptPtEditor.java/[CN]/	net_osmand_plus_mapcontextmenu_editors_PointEditor.java/[CN]/
net_osmand_plus_mapcontextmenu_editors_FavoritePointEditorFragment.java/[CN]/	net_osmand_plus_mapcontextmenu_editors_PointEditorFragment.java/[CN]/
net_osmand_plus_mapcontextmenu_editors_WptPtEditorFragment.java/[CN]/	net_osmand_plus_mapcontextmenu_editors_PointEditorFragment.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_GpxItemMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_PointDescriptionMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_TransportStopController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_MyLocationMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_WptPtMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_TransportRouteController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_TargetPointMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_MapDataMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_FavouritePointMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_RenderedObjectMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_AmenityMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_HistoryMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_MapMarkerMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_controllers_ImpassibleRoadsMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_other_DestinationReachedMenu.java/[CN]/	net_osmand_plus_mapcontextmenu_BaseMenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_other_ShareMenu.java/[CN]/	net_osmand_plus_mapcontextmenu_BaseMenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_other_MapMultiSelectionMenu.java/[CN]/	net_osmand_plus_mapcontextmenu_BaseMenuController.java/[CN]/
net_osmand_plus_mapcontextmenu_builders_FavouritePointMenuBuilder.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuBuilder.java/[CN]/
net_osmand_plus_mapcontextmenu_builders_AmenityMenuBuilder.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuBuilder.java/[CN]/
net_osmand_plus_mapcontextmenu_builders_GpxItemMenuBuilder.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuBuilder.java/[CN]/
net_osmand_plus_mapcontextmenu_builders_WptPtMenuBuilder.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuBuilder.java/[CN]/
net_osmand_plus_mapcontextmenu_MapContextMenu.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuTitleController.java/[CN]/
net_osmand_plus_osmedit_EditPOIMenuBuilder.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuBuilder.java/[CN]/
net_osmand_plus_osmedit_OsmEditsLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_osmedit_OsmEditingPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_osmedit_OsmEditsFragment.java/[CN]/	net_osmand_plus_base_OsmAndListFragment.java/[CN]/
net_osmand_plus_osmedit_EditPoiDialogFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndDialogFragment.java/[CN]/
net_osmand_plus_osmedit_SettingsOsmEditingActivity.java/[CN]/	net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/
net_osmand_plus_osmedit_OsmBugsLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_osmedit_DashOsmEditsFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_osmedit_OsmBugMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_osmedit_OpenstreetmapPoint.java/[CN]/	net_osmand_plus_osmedit_OsmPoint.java/[CN]/
net_osmand_plus_osmedit_OsmNotesPoint.java/[CN]/	net_osmand_plus_osmedit_OsmPoint.java/[CN]/
net_osmand_plus_osmedit_BasicEditPoiFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndFragment.java/[CN]/
net_osmand_plus_osmedit_EditPOIMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_osmedit_AdvancedEditPoiFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndFragment.java/[CN]/
net_osmand_plus_views_ContextMenuLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_MapTileLayer.java/[CN]/	net_osmand_plus_views_BaseMapLayer.java/[CN]/
net_osmand_plus_views_PointLocationLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_PointNavigationLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_MapTextLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_DownloadedRegionsLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_mapwidgets_NextTurnInfoWidget.java/[CN]/	net_osmand_plus_views_mapwidgets_TextInfoWidget.java/[CN]/
net_osmand_plus_views_TransportStopsLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_RouteLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_ImpassableRoadsLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_controls_DynamicListView.java/[CN]/	com_github_ksoichiro_android_observablescrollview_ObservableListView.java/[CN]/
net_osmand_plus_views_YandexTrafficAdapter.java/[CN]/	net_osmand_plus_views_MapTileAdapter.java/[CN]/
net_osmand_plus_views_MapControlsLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_POIMapLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_BaseMapLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_FavouritesLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_GPXLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_MapMarkersLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_views_MapInfoLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_liveupdates_SearchSelectionFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndDialogFragment.java/[CN]/
net_osmand_plus_liveupdates_SubscriptionFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndDialogFragment.java/[CN]/
net_osmand_plus_liveupdates_OsmLiveActivity.java/[CN]/	net_osmand_plus_download_AbstractDownloadActivity.java/[CN]/
net_osmand_plus_liveupdates_UsersReportFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndDialogFragment.java/[CN]/
net_osmand_plus_liveupdates_ReportsFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndFragment.java/[CN]/
net_osmand_plus_liveupdates_LiveUpdatesFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndFragment.java/[CN]/
net_osmand_plus_liveupdates_CountrySelectionFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndDialogFragment.java/[CN]/
net_osmand_plus_openseamapsplugin_NauticalMapsPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_dialogs_RateUsBottomSheetDialog.java/[CN]/	net_osmand_plus_base_BottomSheetDialogFragment.java/[CN]/
net_osmand_plus_dialogs_ErrorBottomSheetDialog.java/[CN]/	net_osmand_plus_base_BottomSheetDialogFragment.java/[CN]/
net_osmand_plus_download_DownloadActivity.java/[CN]/	net_osmand_plus_download_AbstractDownloadActivity.java/[CN]/
net_osmand_plus_download_DownloadResources.java/[CN]/	net_osmand_plus_download_DownloadResourceGroup.java/[CN]/
net_osmand_plus_download_ui_LocalIndexesFragment.java/[CN]/	net_osmand_plus_base_OsmandExpandableListFragment.java/[CN]/
net_osmand_plus_download_ui_DataStoragePlaceDialogFragment.java/[CN]/	net_osmand_plus_base_BottomSheetDialogFragment.java/[CN]/
net_osmand_plus_download_ui_UpdatesIndexFragment.java/[CN]/	net_osmand_plus_base_OsmAndListFragment.java/[CN]/
