org_jivesoftware_openfire_filetransfer_DefaultFileTransferManager.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_filetransfer_proxy_FileTransferProxy.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_spi_PacketRouterImpl.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_spi_ConnectionManagerImpl.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_spi_LegacyConnectionAcceptor.java/[CN]/	org_jivesoftware_openfire_spi_ConnectionAcceptor.java/[CN]/
org_jivesoftware_openfire_spi_PacketTransporterImpl.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_spi_PacketDelivererImpl.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_spi_PresenceManagerImpl.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_spi_RoutingTableImpl.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_OfflineMessageStore.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_multiplex_ClientSessionConnection.java/[CN]/	org_jivesoftware_openfire_net_VirtualConnection.java/[CN]/
org_jivesoftware_openfire_IQRouter.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_update_UpdateManager.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_PrivateStorage.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_pep_IQPEPOwnerHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_pep_IQPEPHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_ldap_LdapGroupProvider.java/[CN]/	org_jivesoftware_openfire_group_AbstractGroupProvider.java/[CN]/
org_jivesoftware_openfire_audit_SessionEvent.java/[CN]/	org_jivesoftware_openfire_audit_AuditEvent.java/[CN]/
org_jivesoftware_openfire_audit_spi_AuditManagerImpl.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_component_InternalComponentManager.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_nio_ComponentConnectionHandler.java/[CN]/	org_jivesoftware_openfire_nio_ConnectionHandler.java/[CN]/
org_jivesoftware_openfire_nio_ClientConnectionHandler.java/[CN]/	org_jivesoftware_openfire_nio_ConnectionHandler.java/[CN]/
org_jivesoftware_openfire_nio_MultiplexerConnectionHandler.java/[CN]/	org_jivesoftware_openfire_nio_ConnectionHandler.java/[CN]/
org_jivesoftware_openfire_nio_ServerConnectionHandler.java/[CN]/	org_jivesoftware_openfire_nio_ConnectionHandler.java/[CN]/
org_jivesoftware_openfire_keystore_CertificateStoreManager.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_user_HybridUserProvider.java/[CN]/	org_jivesoftware_openfire_user_UserMultiProvider.java/[CN]/
org_jivesoftware_openfire_user_NativeUserProvider.java/[CN]/	org_jivesoftware_openfire_user_DefaultUserProvider.java/[CN]/
org_jivesoftware_openfire_user_MappedUserProvider.java/[CN]/	org_jivesoftware_openfire_user_UserMultiProvider.java/[CN]/
org_jivesoftware_openfire_user_POP3UserProvider.java/[CN]/	org_jivesoftware_openfire_user_DefaultUserProvider.java/[CN]/
org_jivesoftware_openfire_mediaproxy_RelaySession.java/[CN]/	org_jivesoftware_openfire_mediaproxy_MediaProxySession.java/[CN]/
org_jivesoftware_openfire_mediaproxy_MediaProxyService.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_mediaproxy_DynamicAddressChannel.java/[CN]/	org_jivesoftware_openfire_mediaproxy_Channel.java/[CN]/
org_jivesoftware_openfire_session_LocalIncomingServerSession.java/[CN]/	org_jivesoftware_openfire_session_LocalServerSession.java/[CN]/
org_jivesoftware_openfire_session_LocalServerSession.java/[CN]/	org_jivesoftware_openfire_session_LocalSession.java/[CN]/
org_jivesoftware_openfire_session_LocalComponentSession.java/[CN]/	org_jivesoftware_openfire_session_LocalSession.java/[CN]/
org_jivesoftware_openfire_session_LocalConnectionMultiplexerSession.java/[CN]/	org_jivesoftware_openfire_session_LocalSession.java/[CN]/
org_jivesoftware_openfire_group_JDBCGroupProvider.java/[CN]/	org_jivesoftware_openfire_group_AbstractGroupProvider.java/[CN]/
