CommitId;RefactoringType;RefactoringDetail
0b34f587ee5e19c24b29a9c3e26374607ff05e8f;Move Method;Move Method	public mostrarQuadroDeCargos(qc QuadroDeCargosVO) : void from class br.mil.eb.cds.sisdot.qc.util.QuadroDeCargosUtil to public mostrarQuadroDeCargos(qc QuadroDeCargosVO) : void from class br.mil.eb.cds.sisdot.qc.modelo.vo.qc.FracaoQcVO
557fd0fa9589f9c3cbfb5c9946295cd0cad3c4d0;Pull Up Method;Pull Up Method	private configurarCelula(wb XSSFWorkbook, background XSSFColor, color XSSFColor, bold boolean, border boolean, alignment char) : XSSFCellStyle from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to protected configurarCelula(wb XSSFWorkbook, background XSSFColor, color XSSFColor, bold boolean, border boolean, alignment char) : XSSFCellStyle from class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
557fd0fa9589f9c3cbfb5c9946295cd0cad3c4d0;Pull Up Attribute;Pull Up Attribute	protected FONTE_PRETA : XSSFColor from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
557fd0fa9589f9c3cbfb5c9946295cd0cad3c4d0;Pull Up Attribute;Pull Up Attribute	protected FONTE_VERMELHA : XSSFColor from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
557fd0fa9589f9c3cbfb5c9946295cd0cad3c4d0;Pull Up Attribute;Pull Up Attribute	protected FONTE_AZUL : XSSFColor from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
557fd0fa9589f9c3cbfb5c9946295cd0cad3c4d0;Pull Up Attribute;Pull Up Attribute	protected BACKGROUND_AZUL : XSSFColor from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
557fd0fa9589f9c3cbfb5c9946295cd0cad3c4d0;Pull Up Attribute;Pull Up Attribute	protected BACKGROUND_AZUL_FRACAO : XSSFColor from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
557fd0fa9589f9c3cbfb5c9946295cd0cad3c4d0;Pull Up Attribute;Pull Up Attribute	protected BACKGROUND_LARANJA : XSSFColor from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
557fd0fa9589f9c3cbfb5c9946295cd0cad3c4d0;Pull Up Method;Pull Up Method	private obterLayoutQDM() : XSSFWorkbook from class br.mil.eb.cds.sisdot.relatorio.helper.QDMExcelRelatorio to protected obterWorkbook() : XSSFWorkbook from class br.mil.eb.cds.sisdot.relatorio.helper.ExcelRelatorioAbstrato
62fcdbc39f873b588b191b8c72c5d1232168b1a3;Rename Method;Rename Method	private adicioinaCargosDoComponenteNorma(normaAgrupadaPorFracao HashMap<String,List<String>>, fracao String, componente ComponenteNormaDotacao) : void renamed to private adicionaCargosDoComponenteNorma(normaAgrupadaPorFracao HashMap<String,List<Cargo>>, fracao String, componente ComponenteNormaDotacao) : void in class br.mil.eb.cds.sisdot.chamador.servico.ChamadorServicoImpl
62fcdbc39f873b588b191b8c72c5d1232168b1a3;Rename Variable;Rename Variable	nomeCargo : String to c : Cargo in method private adicionaCargosDoComponenteNorma(normaAgrupadaPorFracao HashMap<String,List<Cargo>>, fracao String, componente ComponenteNormaDotacao) : void in class br.mil.eb.cds.sisdot.chamador.servico.ChamadorServicoImpl
