CommitId;RefactoringType;RefactoringDetail
fa923a5ad0679a54b3ad42e213a6f511c48f2e46;Move Method;Move Method	public desassociarABoletim(boletim Boletim) : Boletim from class br.mil.eb.cds.sisbol.boletim.modelo.Nota to public desassociarABoletim(boletim Boletim, nota Nota) : Boletim from class br.mil.eb.cds.sisbol.boletim.servico.BoletimServico
96f0c10c5adfb0542c66e5dd18fe8d3ae24603b1;Rename Method;Rename Method	public recuperaNotasPorMilitar(idMilitar Long) : List<NotaMilitar> renamed to public recuperaNotasPorMilitarPeriodo(idMilitar String, ano int, semestre int) : List<Nota> in class br.mil.eb.cds.sisbol.boletim.servico.NotaServico
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Extract Interface;Extract Interface	br.mil.eb.cds.sisbol.boletim.repositorio.AlteracaoRepositorio from classes [br.mil.eb.cds.sisbol.boletim.repositorio.AlteracaoRepositorioJPA]
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Extract Interface;Extract Interface	br.mil.eb.cds.sisbol.boletim.repositorio.BoletimRepositorio from classes [br.mil.eb.cds.sisbol.boletim.repositorio.BoletimRepositorioJPA]
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Extract Interface;Extract Interface	br.mil.eb.cds.sisbol.boletim.repositorio.FuncaoRepositorio from classes [br.mil.eb.cds.sisbol.boletim.repositorio.FuncaoRepositorioJPA]
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Extract Interface;Extract Interface	br.mil.eb.cds.sisbol.boletim.repositorio.HistoricoBoletimRepositorio from classes [br.mil.eb.cds.sisbol.boletim.repositorio.HistoricoBoletimRepositorioJPA]
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Extract Interface;Extract Interface	br.mil.eb.cds.sisbol.boletim.repositorio.HistoricoNotaRepositorio from classes [br.mil.eb.cds.sisbol.boletim.repositorio.HistoricoNotaRepositorioJPA]
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Extract Interface;Extract Interface	br.mil.eb.cds.sisbol.boletim.repositorio.ImpressaoInfosRepositorio from classes [br.mil.eb.cds.sisbol.boletim.repositorio.ImpressaoInfosRepositorioJPA]
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Extract Interface;Extract Interface	br.mil.eb.cds.sisbol.boletim.repositorio.NotaRepositorio from classes [br.mil.eb.cds.sisbol.boletim.repositorio.NotaRepositorioJPA]
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Extract Interface;Extract Interface	br.mil.eb.cds.sisbol.boletim.repositorio.UsuarioRepositorio from classes [br.mil.eb.cds.sisbol.boletim.repositorio.UsuarioRepositorioJPA]
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Extract Superclass;Extract Superclass	br.mil.eb.cds.sisbol.boletim.servico.AbstractServicoSisbol from classes [br.mil.eb.cds.sisbol.boletim.servico.HistoricoBoletimServico, br.mil.eb.cds.sisbol.boletim.servico.HistoricoNotaServico, br.mil.eb.cds.sisbol.boletim.servico.ImpressaoInfosServico, br.mil.eb.cds.sisbol.boletim.servico.ServicoContextualizado, br.mil.eb.cds.sisbol.boletim.servico.TempoServicoServico, br.mil.eb.cds.sisbol.boletim.servico.UsuarioServico]
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Rename Attribute;Rename Attribute	alteracaoRepositorioJPA : AlteracaoRepositorioJPA to alteracaoRepositorio : AlteracaoRepositorio in class br.mil.eb.cds.sisbol.boletim.servico.AlteracaoServico
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Rename Attribute;Rename Attribute	historicoBoletimRepositorioJPA : HistoricoBoletimRepositorioJPA to historicoBoletimServico : HistoricoBoletimServico in class br.mil.eb.cds.sisbol.boletim.servico.BoletimServico
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Rename Attribute;Rename Attribute	historicoNotaRepositorioJPA : HistoricoNotaRepositorioJPA to historicoNotaServico : HistoricoNotaServico in class br.mil.eb.cds.sisbol.boletim.servico.NotaServico
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.BoletimRepositorioJPA to class br.mil.eb.cds.sisbol.boletim.modelo.Workflow
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.FuncaoRepositorioJPA to class br.mil.eb.cds.sisbol.boletim.modelo.Funcao
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.FuncaoRepositorioJPA to class br.mil.eb.cds.sisbol.boletim.servico.FuncaoServico
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.NotaRepositorioJPA to class br.mil.eb.cds.sisbol.boletim.modelo.Workflow
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.AlteracaoRepositorioJPA to class br.mil.eb.cds.sisbol.boletim.repositorio.RepositorioGenericoSisbol
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.BoletimRepositorioJPA to class br.mil.eb.cds.sisbol.boletim.repositorio.RepositorioGenericoSisbol
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.FuncaoRepositorioJPA to class br.mil.eb.cds.sisbol.boletim.repositorio.RepositorioGenericoSisbol
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.HistoricoBoletimRepositorioJPA to class br.mil.eb.cds.sisbol.boletim.repositorio.RepositorioGenericoSisbol
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.HistoricoNotaRepositorioJPA to class br.mil.eb.cds.sisbol.boletim.repositorio.RepositorioGenericoSisbol
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.NotaRepositorioJPA to class br.mil.eb.cds.sisbol.boletim.repositorio.RepositorioGenericoSisbol
3637a0399e5f3c22e53c52d369b195db3ecb9c32;Move Attribute;Move Attribute	private serialVersionUID : long from class br.mil.eb.cds.sisbol.boletim.repositorio.SecaoRespositorioJPA to class br.mil.eb.cds.sisbol.boletim.modelo.Secao
5bdf1c1b28d40e743f1e8114b9208c9d0a918637;Extract Variable;Extract Variable	militar : Militar in method private obterTextoMilitarAssociado(notaMilitar NotaMilitar) : String from class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoBoletim
5bdf1c1b28d40e743f1e8114b9208c9d0a918637;Rename Variable;Rename Variable	militares : List<NotaMilitar> to notasMilitar : List<NotaMilitar> in method private militaresAssociados(nota Nota, militares HashMap<String,Militar>) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoBoletim
5bdf1c1b28d40e743f1e8114b9208c9d0a918637;Extract Variable;Extract Variable	militar : Militar in method private obterTextoMilitarAssociado(notaMilitar NotaMilitar) : String from class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoNota
5bdf1c1b28d40e743f1e8114b9208c9d0a918637;Rename Variable;Rename Variable	campoNome : String to campoOmNome : String in method private contextoOm(infos ImpressaoInfos) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoNota
